1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
Genre;Reseller;Project;Product;Title;GenreName;Run;RunNumber;Season;CapitalizationDate;NumberOfAmortizations;AmortizationFrequency;CumulativeCostInLocalCurrency;CumulativeLocalCurrency;CumulativeCostInContractCurrency;CumulativeContractCurrency;TotalCostInLocalCurrency;TotalLocalCurrency;TotalCostInContractCurrency;TotalContractCurrency;AmortizationType;ContractID;Creditor;ProductionNumber;Profit_Center;WBS_Nr;Asset_Nr;MinimumExploitationStartDate;MaximumExploitationEndDate
T1-DNS01 Domestic non-scripted;TVM0034 (mtv service);222195;2764298;Kaaoksen kesyttäjät;Other reality (contests, adventure);Run;1;1;1.10.2022;12;Monthly;1;EUR;1;EUR;1;EUR;1;EUR;Straight line;V202106000117;Rabbit Films Oy Ltd;KO21001129;370134;;;27.10.2022;3.11.2026
T1-SPO01 Sports;TVM0020 (C More);338129;2984202;No Pucks Given;Documentary and biography;Run;1;;1.4.2024;9;Monthly;1;EUR;1;EUR;1;EUR;1;EUR;Straight line;W202405000237;Infront;F224000236;370134;;;29.4.2024;7.1.2025
T1-INC03 International Movies;OTTOTH (OTT Other SE);;200094727;John Wick: Chapter 2;Action 7.2.4;Run;1;;25.12.2023;12;Monthly;1;SEK;1;EUR;1;SEK;1;EUR;Straight line;B202310196;NORDISK FILM DISTRIBUTION A/S;2002200178;370134;T1-08075-00004;;1.12.2023;30.11.2024
T1-DOS01 Domestic scripted series;OTTOTH (OTT Other SE);;500708369;Lasse-Maja I;Family;Run;1;1;25.12.2021;49;Monthly;1;SEK;1;SEK;1;SEK;1;SEK;Straight line;C202006035;FLX TV AB;3141900430;370134;T1-02249-00010;;4.12.2020;3.12.2030
T1-DOS01 Domestic scripted series;OTTOTH (OTT Other SE);;200099148;Wild kids IV;Drama series;Run;1;4;25.1.2023;12;Monthly;1;SEK;1;SEK;1;SEK;1;SEK;Straight line;B202204110;JAROWSKIJ ENTERPRISES AB;3152300023;370134;T1-08441-00006;;6.1.2023;5.1.2026
T1-INC03 International Movies;OTTOTH (OTT Other SE);;200128817;Angel Has Fallen;Action 7.2.4;Run;1;;25.11.2023;12;Monthly;1;SEK;1;EUR;1;SEK;1;EUR;Straight line;B202310196;NORDISK FILM DISTRIBUTION A/S;2002300624;370134;T1-10629-00003;;1.11.2023;31.10.2024
T1-DOS02 Domestic scripted movies;OTTOTH (OTT Other SE);338532;200091121;Beck - Dödläge (50);Crime/Police;Run;1;;25.12.2023;13;Monthly;1;SEK;1;SEK;1;SEK;1;SEK;Straight line;B202103034;Filmlance International AB;3142100833;370134;T1-07512-00003;;9.2.2024;31.12.2030
T1-INC01 International Scripted;OTTOTH (OTT Other SE);;200096190;Joe vs. Carole I;True stories, docudrama, historic;Run;1;1;25.3.2022;37;Monthly;1;SEK;1;USD;1;SEK;1;USD;Straight line;B202203069;NBC UNIVERSAL;2002200299;370134;T1-08345-00006;;31.3.2022;30.3.2025
T1-INC01 International Scripted;OTTOTH (OTT Other SE);;200108654;Time is a Killer I;Thriller, action 6.2.2.3;Run;1;1;25.1.2023;30;Monthly;1;SEK;1;EUR;1;SEK;1;EUR;Straight line;B202109213;GSN INTERNATIONAL LIMITED;2002200709;370134;T1-09319-00003;;1.1.2023;30.6.2025
T1-INC01 International Scripted;OTTOTH (OTT Other SE);;200091639;Follow the Money I;Crime/Police;Run;1;1;25.5.2022;24;Monthly;1;SEK;1;EUR;1;SEK;1;EUR;Straight line;B202112287;DR;8312100854;370134;T1-07562-00006;;1.5.2022;30.4.2024
T1-DOS01 Domestic scripted series;OTTOTH (OTT Other SE);;500726747;Lasse-Maja II;Family;Run;1;2;25.12.2021;12;Monthly;1;SEK;1;SEK;1;SEK;1;SEK;Straight line;C202006035;FLX TV AB;3142000307;370134;T1-02261-00006;;3.12.2021;2.12.2031
