WBS_ELEMENT|CONTRACT_NUMBER|PRODUCTION_NUMBER|RESELLER_CODE|STATUS
T10843300004|V202202000021|U422000054||ERROR - ONE OR MORE KEYS ARE MISSING
T109516 0004|V202202000027|KO22000678|TVM0030|ERROR - MATCH NOT FOUND
T10892000004|V202009000128|KO20001202|TVM0030|ERROR - MATCH NOT FOUND
T10891800003|V202003000055|KO20001805|TVM0020|ERROR - MATCH NOT FOUND
T11076800006|W202311000142|F218000456|TVM0022|ERROR - MATCH NOT FOUND
T10981700005|V202212000229|KO22001147|TVM0020|ERROR - MATCH NOT FOUND
T11078000005|V202212000229|KO22001147|TVM0020|ERROR - MATCH NOT FOUND
T10879300004|V202201000012|F222000064|TVM0030|ERROR - MATCH NOT FOUND
T10799000006|V202112000207|F221001157|TVM0032|ERROR - MATCH NOT FOUND
T11042000003|W202306000100|KO23000277|TVM0020|ERROR - MATCH NOT FOUND
T10817200007|V202202000026|F222000156|TVM0034|ERROR - MATCH NOT FOUND
T10751300003|V202111000189|KO21001201|TVM0020|ERROR - MATCH NOT FOUND
T10816600005|V202202000027|F222000419|TVM0031|ERROR - MATCH NOT FOUND
T11095700004|W202403000142|F223000166|TVM0020|ERROR - MATCH NOT FOUND
T11095800004|W202403000142|F223000439|TVM0020|ERROR - MATCH NOT FOUND
T10885100003|V202205000092|KO22000235|TVM0020|ERROR - MATCH NOT FOUND
T10789300003|V202112000203|F221000818|TVM0031|ERROR - MATCH NOT FOUND
T10777900003|V202112000221|F221001087|TVM0034|ERROR - MATCH NOT FOUND
T10762300007|V202110000171|F221000006|TVM0034|ERROR - MATCH NOT FOUND
T11087800008|W202401000026|KO14000074|TVM0034|ERROR - MATCH NOT FOUND
T11097000003|W202403000142|F224000183|TVM0020|ERROR - MATCH NOT FOUND
T10833500008|V202006000109|U420001085||ERROR - ONE OR MORE KEYS ARE MISSING
T11018700003|W202304000053|KO23000189|TVM0020|ERROR - MATCH NOT FOUND
T10793900006|V202112000207|F221001157|TVM0032|ERROR - MATCH NOT FOUND
T10984500003|V202301000006|KO23000365|TVM0020|ERROR - MATCH NOT FOUND
